x,y,name
4,17,door_big_oak_lower
5,17,door_acacia_lower
6,17,door_jungle_lower

1,18,leaves_oak
2,18,leaves_birch
3,18,leaves_spruce
4,18,leaves_big_oak
5,18,leaves_acacia
6,18,leaves_jungle

1,19,sapling_oak
2,19,sapling_birch
3,19,sapling_spruce
4,19,sapling_big_oak
5,19,sapling_acacia
6,19,sapling_jungle

1,21,coal_ore
2,21,iron_ore
3,21,gold_ore
4,21,redstone_ore
5,21,lapis_ore
6,21,diamond_ore
7,21,emerald_ore

1,22,coal_block
2,22,iron_block
3,22,gold_block
4,22,redstone_block
5,22,lapis_block
6,22,diamond_block
7,22,emerald_block

1,23,quartz_ore
1,23,quartz_block_side
1,23,quartz_block_bottom
1,23,quartz_block_top
1,23,quartz_lines
1,23,quartz_lines_top
1,23,quartz_chiseled
1,23,quartz_chiseled_top

1,24,destroy_stage_0
2,24,destroy_stage_1
3,24,destroy_stage_2
4,24,destroy_stage_3
5,24,destroy_stage_4
6,24,destroy_stage_5
7,24,destroy_stage_6
8,24,destroy_stage_7
9,24,destroy_stage_8
10,24,destroy_stage_9

1,25,wheat_stage_0
2,25,wheat_stage_1
3,25,wheat_stage_2
4,25,wheat_stage_3
5,25,wheat_stage_4
6,25,wheat_stage_5
7,25,wheat_stage_6
8,25,wheat_stage_7

1,26,carrots_stage_0
2,26,carrots_stage_1
3,26,carrots_stage_2
4,26,carrots_stage_3
5,26,potatoes_stage_0
6,26,potatoes_stage_1
7,26,potatoes_stage_2
8,26,potatoes_stage_3

1,27,cocoa_stage_0
2,27,cocoa_stage_1
3,27,cocoa_stage_2
4,27,nether_wart_stage_0
5,27,nether_wart_stage_0
6,27,nether_wart_stage_1
7,27,mushroom_brown
8,27,mushroom_red

1,28,melon_stem_disconnected
2,28,melon_stem_connected
3,28,melon_side
4,28,melon_top
5,28,hay_block_side
6,28,hay_block_top
7,28,mushroom_block_inside
8,28,mushroom_block_skin_stem
9,28,cactus_bottom
10,28,cactus_side
11,28,cactus_top
12,28,reeds

1,29,pumpkin_stem_disconnected
2,29,pumpkin_stem_connected
3,29,pumpkin_side
4,29,pumpkin_top
5,29,pumpkin_face_off
6,29,pumpkin_face_on
7,29,mushroom_block_skin_brown
8,29,mushroom_block_skin_red
9,29,cake_bottom
10,29,cake_top
11,29,cake_inner
12,29,cake_side

1,30,flower_rose
2,30,flower_allium
3,30,flower_paeonia
4,30,flower_dandelion
5,30,flower_houstonia
6,30,flower_blue_orchid
7,30,flower_oxeye_daisy
8,30,flower_tulip_red
9,30,flower_tulip_pink
10,30,flower_tulip_white
11,30,flower_tulip_orange
12,30,deadbush

1,31,double_plant_sunflower_front
2,31,double_plant_sunflower_top
3,31,double_plant_paeonia_top
4,31,double_plant_rose_top
5,31,double_plant_syringa_top
6,31,double_plant_fern_top
7,31,double_plant_grass_top
8,31,tallgrass
9,31,fern

1,31,double_plant_sunflower_back
2,31,double_plant_sunflower_bottom
3,31,double_plant_paeonia_bottom
4,31,double_plant_rose_bottom
5,31,double_plant_syringa_bottom
6,31,double_plant_fern_bottom
7,31,double_plant_grass_bottom
8,31,waterlily
9,31,vine

8,10,end_stone
9,10,endframe_side
10,10,endframe_top
11,10,endframe_eye
8,11,enchanting_table_bottom
9,11,enchanting_table_side
10,11,enchanting_table_top
11,11,dragon_egg
8,12,netherrack
9,12,nether_bricks
10,12,soul_sand
11,12,obsidian

8,14,beacon
8,14,glowstone
8,14,sponge
8,14,sponge_wet

8,16,door_iron_upper
9,16,iron_trapdoor
10,16,iron_bars
11,16,ladder
8,17,door_iron_upper
9,17,trapdoor
10,17,flower_pot
11,17,itemframe_background

8,19,ice
8,19,ice_packed
8,19,prismarine_bricks
8,19,prismarine_dark

13,6,bed_feet_end
14,6,bed_feet_side
15,6,bed_head_side
16,6,bed_head_end
14,6,bed_feet_top
15,6,bed_head_top

13,8,furnace_front_off
14,8,furnace_front_on
15,8,furnace_side
16,8,furnace_top

13,9,anvil_base
14,9,anvil_top_damaged_0
15,9,anvil_top_damaged_1
16,9,anvil_top_damaged_2

13,10,cauldron_bottom
14,10,cauldron_top
15,10,cauldron_inner
16,10,cauldron_side

13,12,dispenser_front_horizontal
14,12,dispenser_front_vertical
15,12,dropper_front_horizontal
16,12,dropper_front_vertical

13,13,piston_bottom
14,13,piston_inner
15,13,piston_side
16,13,piston_top_normal
17,13,piston_top_sticky

13,15,rail_normal_turned
14,15,rail_golden_powered
15,15,rail_detector_powered
16,15,rail_activator_powered
13,16,rail_normal
14,16,rail_golden
15,16,rail_detector
16,16,rail_activator

13,18,comparator_off
14,18,comparator_on
15,18,repeater_off
16,18,repeater_on
13,19,redstone_torch_off
14,19,redstone_torch_on
15,19,torch_on
16,19,lever

13,20,redstone_dust_cross
14,20,redstone_dust_cross_overlay
15,20,redstone_dust_line
16,20,redstone_dust_line_overlay
13,21,trip_wire_source
14,21,trip_wire
15,21,redstone_lamp_off
16,21,redstone_lamp_on

14,23,tnt_side
13,23,tnt_bottom
15,23,tnt_top
16,23,web

13,25,bedrock
14,25,command_block
15,25,spawner
13,26,clay
14,26,brick
15,26,snow
16,26,slime

14,28,brewing_stand_base
15,28,brewing_stand
16,28,bookshelf
14,29,crafting_table_front
15,29,crafting_table_side
16,29,crafting_table_top
14,30,daylight_detector_side
15,30,daylight_detector_top
16,30,daylight_detector_inverted_top
14,31,jukebox_side
15,31,jukebox_top
16,31,noteblock
14,32,hopper_top
15,32,hopper_inside
16,32,hopper_outside
